,sggCd,갱신요구권사용,거래일,건축년도,계약구분,계약기간,법정동,보증금액,아파트,월세금액,전용면적,종전계약보증금,종전계약월세,지번,층
0,11470,,2025-11-01,1986,신규,26.02~28.02,목동,"58,000",목동신시가지7,0,59.39,,,925,2
1,11470,,2025-11-01,1994,신규,26.01~28.01,목동,"90,000",목동대림,0,84.82,,,405,8
2,11470,,2025-11-01,2023,신규,26.01~27.01,신정동,"3,000",어반클라쎄목동,160,37.42,,,1328,4
3,11470,,2025-11-01,1992,신규,26.01~28.01,목동,"62,000",우성,0,84.44,,,200,11
4,11470,,2025-11-01,1986,갱신,25.11~27.11,목동,"55,000",목동신시가지7,50,66.6,"49,350",20,925,3
5,11470,,2025-11-01,1986,신규,26.01~28.01,목동,"78,000",목동신시가지3,0,82.43,,,903,1
6,11470,사용,2025-11-01,1986,갱신,26.02~28.02,목동,"50,000",목동신시가지2,150,97.92,"50,000",140,902,8
7,11470,,2025-11-01,1987,신규,26.01~28.01,신정동,"45,000",목동신시가지10,0,53.82,,,311,12
8,11470,,2025-11-01,1987,신규,26.01~28.01,신정동,"90,000",목동신시가지13,0,98.63,,,327,10
9,11470,,2025-11-01,1987,갱신,26.01~27.08,신정동,"53,500",목동신시가지10,0,70.2,"51,000",,311,14
10,11470,사용,2025-11-01,1996,갱신,25.12~27.12,신정동,"67,000",목동삼성,0,84.77,"65,000",,1278,13
11,11470,사용,2025-11-01,2000,갱신,25.11~27.11,신정동,"49,500",목동우성2,0,113.91,"48,000",,337,1
12,11470,,2025-11-01,1997,신규,26.02~28.02,목동,"60,000",목동청구한신아파트,120,84.77,,,929,6
13,11470,,2025-11-01,2003,신규,26.01~28.01,신정동,"80,000",명지해드는터,0,84.98,,,1300,21
14,11470,사용,2025-11-01,1987,갱신,25.11~27.11,신정동,"51,450",목동신시가지8,0,71.77,"49,000",,314,19
15,11470,,2025-11-01,1986,신규,26.02~28.02,목동,"100,000",목동신시가지5,0,95.28,,,912,5
16,11470,,2025-11-01,1986,신규,26.02~28.02,목동,"75,000",목동신시가지5,0,65.08,,,912,2
17,11470,사용,2025-11-01,1987,갱신,26.01~28.01,신정동,"79,500",목동신시가지14,15,108.28,"79,500",,329,8
18,11470,사용,2025-11-01,1987,갱신,25.12~27.12,신정동,"15,000",목동신시가지9,155,71.37,"15,000",145,312,3
19,11470,,2025-11-01,1997,갱신,25.12~26.12,목동,"40,000",목동청구한신아파트,120,84.77,"40,000",67,929,2
20,11470,사용,2025-11-01,2002,갱신,25.11~27.11,신정동,"26,250",동원데쟈뷰,0,80.78,"25,000",,938-7,10
21,11470,,2025-11-01,1987,신규,26.01~28.01,신정동,"51,000",목동신시가지8,0,54.94,,,314,2
22,11470,사용,2025-11-01,1986,갱신,25.12~27.12,목동,"98,700",목동신시가지4,0,115.65,"94,000",,904,5
23,11470,,2025-11-01,1999,신규,26.01~28.01,신정동,"20,000",신정현대5,240,142.69,,,1273,6
24,11470,,2025-11-01,1986,신규,26.01~28.01,목동,"114,000",목동신시가지7,0,101.2,,,925,14
25,11470,사용,2025-11-01,1987,갱신,25.12~27.12,신정동,"83,000",목동신시가지13,0,98.63,"80,000",,327,7
26,11470,,2025-11-01,2002,신규,25.12~27.12,신정동,"20,000",심미,100,76.86,,,916-15,6
27,11470,,2025-11-01,2006,신규,26.03~28.03,신월동,"20,000",아름다운세상,0,74.71,,,1038,6
28,11470,,2025-11-01,1992,갱신,25.12~27.12,목동,"95,000",우성,0,84.63,"95,000",,200,7
29,11470,사용,2025-11-01,1986,갱신,25.12~27.12,목동,"57,500",목동신시가지3,0,64.98,"55,000",,903,11
30,11470,,2025-11-01,1986,신규,25.11~27.11,목동,"20,000",목동신시가지7,140,53.88,,,925,11
31,11470,,2025-11-01,1994,신규,25.12~27.12,목동,"15,000",목동대림,235,84.82,,,405,17
32,11470,사용,2025-11-01,1987,갱신,25.11~27.11,신정동,"5,000",목동신시가지13,140,70.73,"5,000",130,327,8
33,11470,,2025-11-01,2005,신규,25.12~27.12,신정동,"52,000",동일하이빌2단지,0,84.955,,,1311,2
34,11470,사용,2025-11-01,1987,갱신,26.01~28.01,신정동,"59,850",목동신시가지14,0,71.4,"57,000",,329,9
35,11470,사용,2025-11-01,1988,갱신,26.01~28.01,신정동,"10,000",목동신시가지11,138,66.24,"10,000",130,325,2
36,11470,사용,2025-11-01,1986,갱신,25.12~27.12,목동,"90,000",목동신시가지7,48,101.2,"90,000",30,925,14
37,11470,사용,2025-11-01,2002,갱신,25.11~27.11,신정동,"26,250",동원데쟈뷰,0,80.78,"25,000",,938-7,10
38,11470,,2025-11-01,1997,갱신,26.02~28.02,신정동,"75,000",목동현대3차,0,84.77,"63,000",,1279,16
39,11470,,2025-11-01,2006,신규,26.01~28.01,목동,"60,000",하이페리온2,390,119.369,,,961,23
40,11470,사용,2025-11-01,1987,갱신,25.12~27.12,신정동,"37,275",목동신시가지8,0,54.94,"35,500",,314,9
41,11470,,2025-11-01,1986,신규,26.02~28.02,목동,"75,000",목동신시가지3,0,64.98,,,903,11
42,11470,사용,2025-11-01,1987,갱신,25.12~27.12,신정동,"10,000",목동신시가지14,117,55.02,"10,000",110,329,5
43,11470,사용,2025-11-01,1985,갱신,25.12~27.12,목동,"70,000",목동신시가지1,55,90.06,"70,000",40,901,15
44,11470,사용,2025-11-01,1986,갱신,25.11~27.11,목동,"52,500",목동신시가지3,0,64.98,"50,000",,903,8
45,11470,,2025-11-01,2020,신규,26.01~28.01,신월동,"55,000",목동센트럴아이파크위브2단지,0,59.97,,,1076,14
46,11470,사용,2025-11-01,1997,갱신,26.01~28.01,목동,"91,000",목동청구한신아파트,0,84.76,"87,000",,929,12
47,11470,사용,2025-11-01,2003,갱신,25.12~28.02,목동,"40,000",현대I-PARK,134,82.81,"40,000",120,940,8
48,11470,,2025-11-01,2020,신규,26.03~28.03,신월동,"65,000",목동센트럴아이파크위브4단지,0,84.98,,,1078,11
49,11470,,2025-11-01,1988,신규,25.11~27.11,신정동,"2,000",목동신시가지11,100,51.48,,,325,14
50,11470,,2025-11-01,2006,신규,26.02~28.02,목동,"170,000",하이페리온2,0,133.363,,,961,14
51,11470,사용,2025-11-01,1985,갱신,25.12~27.12,목동,"70,000",목동신시가지1,55,90.06,"70,000",40,901,15
52,11470,사용,2025-11-01,2003,갱신,25.11~27.11,목동,"49,000",목동효성,0,84.87,"49,000",,539-4,10
53,11470,,2025-11-01,2000,신규,26.01~28.01,신정동,"39,000",신트리4,0,59.73,,,1277,8
54,11470,,2025-11-01,1987,신규,26.01~28.01,신정동,"70,000",목동신시가지8,0,71.77,,,314,18
55,11470,사용,2025-11-01,1997,갱신,26.04~28.04,목동,"65,100",금호1,0,59.88,"62,000",,934,8
56,11470,,2025-11-01,1987,신규,25.11~27.04,신정동,"39,000",목동신시가지13,0,53.9,,,327,2
57,11470,,2025-11-01,2014,신규,26.02~28.02,신월동,"57,000",롯데캐슬,0,84.966,,,1063,13
58,11470,사용,2025-11-01,2021,갱신,25.12~27.12,신정동,"61,950",래미안목동아델리체(119동~123동),0,59.82,"59,000",,1326,11
59,11470,,2025-11-01,2004,신규,26.01~28.01,신월동,"30,000",신도신월1차,80,84.85,,,1029,5
60,11470,,2025-11-01,1997,,,신정동,"68,250",목동현대3차,0,84.77,,,1279,18
61,11470,,2025-11-01,1986,,,목동,"57,500",목동신시가지3,0,64.98,,,903,11
62,11470,,2025-11-01,1986,갱신,25.12~27.12,목동,"103,000",목동신시가지5,50,115.47,"97,000",40,912,15
63,11470,,2025-11-01,1986,신규,26.02~28.02,목동,"125,000",목동신시가지2,0,116.82,,,902,6
64,11470,사용,2025-11-01,2010,갱신,26.01~28.01,신월동,"15,000",롯데캐슬(1057-1),135,84.63,"15,000",130,1057-1,8
65,11470,,2025-11-01,1990,갱신,25.12~27.12,신정동,"59,000",유원목동,0,84.96,"56,700",,87-39,3
66,11470,,2025-11-01,2020,신규,25.12~27.12,신월동,"47,500",목동센트럴아이파크위브3단지,0,52.85,,,1077,16
67,11470,,2025-11-01,2014,신규,26.01~28.01,신월동,"59,000",롯데캐슬,0,84.984,,,1063,8
68,11470,,2025-11-01,1988,신규,26.02~28.02,신정동,"58,000",목동신시가지12,0,71.64,,,326,14
69,11470,사용,2025-11-01,1997,갱신,25.12~27.12,목동,"70,000",목동청구한신아파트,40,84.77,"70,000",40,929,2
70,11470,,2025-11-01,2004,신규,25.12~27.12,신정동,"30,000",경남아너스빌,200,84.95,,,1307,12
71,11470,,2025-11-01,1987,신규,26.01~28.01,신정동,"45,000",목동신시가지14,110,83.89,,,329,17
72,11470,,2025-11-01,1987,신규,26.02~28.02,신정동,"52,000",목동신시가지9,0,53.82,,,312,4
73,11470,,2025-11-01,2021,신규,26.01~28.01,신정동,"90,000",래미안목동아델리체(101동~118동),0,84.95,,,1326,20
74,11470,,2025-11-01,1997,신규,26.02~28.02,목동,"30,000",목동청구한신아파트,220,84.76,,,929,14
75,11470,사용,2025-11-01,2022,갱신,25.12~27.12,신정동,"77,000",호반써밋목동,0,84.9224,"75,000",,1327,4
76,11470,,2025-11-01,1986,신규,26.01~28.01,목동,"68,000",목동신시가지5,0,65.08,,,912,7
77,11470,사용,2025-11-01,1986,갱신,25.11~27.12,목동,"35,000",목동신시가지6,0,47.94,"35,000",,911,10
78,11470,사용,2025-11-01,1986,갱신,25.11~27.11,목동,"110,200",목동신시가지2,0,144,"105,000",,902,7
79,11470,,2025-11-01,2000,갱신,25.11~26.09,신정동,"49,500",목동우성2,0,113.91,"48,000",,337,1
80,11470,,2025-11-01,1987,신규,26.01~28.01,신정동,"50,000",목동신시가지9,150,106.93,,,312,14
81,11470,사용,2025-11-01,1987,갱신,26.01~28.01,신정동,"47,250",목동신시가지8,0,54.94,"45,000",,314,5
82,11470,사용,2025-11-01,2021,갱신,25.11~27.11,신정동,"59,850",래미안목동아델리체(119동~123동),0,59.82,"57,000",,1326,2
83,11470,,2025-11-01,2002,신규,26.02~28.02,목동,"70,000",금강에스쁘아,0,82.615,,,753-1,17
84,11470,,2025-11-01,1987,갱신,26.02~28.02,신정동,"50,000",목동신시가지14,28,74.19,"50,000",,329,4
85,11470,,2025-11-02,1987,신규,26.01~28.01,신정동,"113,000",목동신시가지10,0,156.24,,,311,12
86,11470,,2025-11-02,1986,신규,26.02~28.02,목동,"83,000",목동신시가지7,0,74.12,,,925,5
87,11470,,2025-11-02,1987,신규,25.12~27.12,신정동,"49,500",목동신시가지8,0,54.94,,,314,13
88,11470,,2025-11-02,2000,신규,25.12~27.12,신정동,"34,000",학마을1단지,0,49.99,,,1293,9
89,11470,,2025-11-02,2021,신규,26.02~28.02,신정동,"120,000",래미안목동아델리체(101동~118동),0,115.97,,,1326,7
90,11470,사용,2025-11-02,2004,갱신,25.11~27.11,신정동,"28,000",정은스카이빌2차,58,84.98,"28,000",50,1304,2
